Block Name,Category,District Name,HealthBlock ID,HFI,Highlight,Hyper Link,Latitude,Longitude,Nin 2 Hfi,Operational Date,Progressive Date,Quarter of Operational Date,State Name1,Taluka ID,DistrictProgressColor,HFI,Geometry (generated),Latitude (generated),Longitude (generated),test,breastcancer,diabetes,footfall,Hypertension, Oralcancer 
TARSIKKA,SHC,,223,Dashmesh Nagar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8575544823,31.6360761,75.0810082,8575544823,28/07/20,28/07/20,Q3,,0,,Dashmesh Nagar,,31.6360761,75.0810082,,221,"1,555","10,166","2,824","1,298"
TARSIKKA,SHC,,223,Dhulka,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3575351154,31.57951624,75.1770797,3575351154,28/07/20,28/07/20,Q3,,0,,Dhulka,,31.57951624,75.1770797,,257,"3,239","14,307","3,905","1,293"
TARSIKKA,SHC,,223,Mehesumpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7383574659,31.6328612,75.1802563,7383574659,30/06/19,30/06/19,Q2,,0,,Mehesumpur,,31.6328612,75.1802563,,53,"1,124","12,791","3,310",340
TARSIKKA,SHC,,223,Mucchal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6722875470,31.6000038,74.932155,6722875470,28/07/20,28/07/20,Q3,,0,,Mucchal,,31.6000038,74.932155,,348,765,"6,968","1,389",672
TARSIKKA,SHC,,223,SC Rasulpur,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6667518481,31.6405228,75.0452345,6667518481,28/07/20,28/07/20,Q3,,0,,SC Rasulpur,,31.6405228,75.0452345,,160,"1,782","16,922","2,634",259
TARSIKKA,SHC,,223,Tangra,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7742177640,31.6193432,74.8886234,7742177640,28/07/20,28/07/20,Q3,,0,,Tangra,,31.6193432,74.8886234,,82,"1,166","10,311","2,313",383
TARSIKKA,SHC,,223,Udhoke Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6183636486,31.72854448,75.17902471,6183636486,28/07/20,28/07/20,Q3,,0,,Udhoke Kalan,,31.72854448,75.17902471,,456,"1,686","9,818","1,686","1,575"
TARSIKKA,SHC,,223,Udo Nangal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3124348776,31.6983539,75.2086426,3124348776,30/06/19,30/06/19,Q2,,0,,Udo Nangal,,31.6983539,75.2086426,,45,"2,282","9,459","2,600","1,669"
Threawal,SHC,,40642,Abdal,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1675551327,31.7491099,75.0769932,1675551327,30/11/19,30/11/19,Q4,,0,,Abdal,,31.7491099,75.0769932,,0,"1,552","6,525","1,990","1,249"
Threawal,SHC,,40642,Bhangali Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7116541553,31.7948174,75.060567,7116541553,27/07/20,27/07/20,Q3,,0,,Bhangali Kalan,,31.7948174,75.060567,,14,"2,059","7,503","2,305",607
Threawal,SHC,,40642,Budha Theh,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/6822456486,31.8256798,74.9959413,6822456486,27/07/20,27/07/20,Q3,,0,,Budha Theh,,31.8256798,74.9959413,,64,"2,948","5,800","3,009","1,714"
Threawal,SHC,,40642,Dadupura,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2343642480,31.7593763,74.9558446,2343642480,30/11/19,30/11/19,Q4,,0,,Dadupura,,31.7593763,74.9558446,,66,"1,132","5,611","1,563",704
Threawal,SHC,,40642,Dhaday,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5254747834,31.6901912,75.0821032,5254747834,27/07/20,27/07/20,Q3,,0,,Dhaday,,31.6901912,75.0821032,,258,974,"6,971","1,465",381
Threawal,SHC,,40642,Hamza,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/2615741127,31.7820089,74.9711064,2615741127,30/11/19,30/11/19,Q4,,0,,Hamza,,31.7820089,74.9711064,,309,"1,274","6,488","1,625",952
Threawal,SHC,,40642,Jalalpura,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3863734178,31.772788,75.0131043,3863734178,27/07/20,27/07/20,Q3,,0,,Jalalpura,,31.772788,75.0131043,,75,"2,118","10,034","2,778",831
Threawal,SHC,,40642,Jeajeani,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5645567883,31.7876583,75.012374,5645567883,30/11/19,30/11/19,Q4,,0,,Jeajeani,,31.7876583,75.012374,,0,"1,007","6,774","1,461","1,156"
Threawal,SHC,,40642,Kaler Mangat,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7564668635,31.732064,74.9926545,7564668635,30/06/19,30/06/19,Q2,,0,,Kaler Mangat,,31.732064,74.9926545,,15,"2,053","11,463","2,059",917
Threawal,SHC,,40642,Kotla Gujjran,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/8573235879,31.8040654,74.923252,8573235879,30/11/19,30/11/19,Q4,,0,,Kotla Gujjran,,31.8040654,74.923252,,0,"2,089","7,998","2,519",951
Threawal,SHC,,40642,Lehrka,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/5784586413,31.74110805,75.094317,5784586413,27/07/20,27/07/20,Q3,,0,,Lehrka,,31.74110805,75.094317,,293,"1,670","6,721","2,018","1,037"
Threawal,SHC,,40642,Nag Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3322857875,31.7313507,74.9396144,3322857875,30/11/19,30/11/19,Q4,,0,,Nag Kalan,,31.7313507,74.9396144,,718,"3,696","13,812","4,022","1,378"
Threawal,SHC,,40642,Pakharpura,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/7574676248,31.767815,75.0996219,7574676248,30/11/19,30/11/19,Q4,,0,,Pakharpura,,31.767815,75.0996219,,2,"1,578","9,769","1,805","1,462"
Threawal,SHC,,40642,Sham Nagar,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/1567447477,31.7738632,75.0222594,1567447477,27/07/20,27/07/20,Q3,,0,,Sham Nagar,,31.7738632,75.0222594,,142,"2,476","12,569","3,104","1,608"
Threawal,SHC,,40642,Sohian Kalan,,https://ab-hwc.nhp.gov.in/Gallery/tableuphotoGallery/3467237859,31.7313878,74.9031562,3467237859,30/11/19,30/11/19,Q4,,0,,Sohian Kalan,,31.7313878,74.9031562,,703,"1,757","10,074","1,772","1,743"
